Município,Quantidade_SUS,Quantidade_Não_SUS
293135 TEIXEIRA DE FREITAS,179,78
293150 TEOFILANDIA,17,-
293160 TEOLANDIA,24,-
293170 TERRA NOVA,7,-
293180 TREMEDAL,19,-
293190 TUCANO,30,28
293200 UAUA,24,-
293210 UBAIRA,71,-
293220 UBAITABA,100,-
293230 UBATA,41,-
293240 UIBAI,30,-
293245 UMBURANAS,5,-
293250 UNA,47,-
293260 URANDI,34,-
293280 UTINGA,24,-
293290 VALENCA,78,12
293300 VALENTE,64,4
293305 VARZEA DA ROCA,21,-
293310 VARZEA DO POCO,30,-
293315 VARZEA NOVA,17,-
293325 VEREDA,15,-
293330 VITORIA DA CONQUISTA,727,263
293340 WAGNER,43,2
293345 WANDERLEY,28,-
293350 WENCESLAU GUIMARAES,44,-
293360 XIQUE-XIQUE,87,-
310010 ABADIA DOS DOURADOS,12,-
310020 ABAETE,41,5
310030 ABRE CAMPO,59,7
310060 AGUA BOA,15,-
310090 AGUAS FORMOSAS,61,5
310100 AGUAS VERMELHAS,46,1
310110 AIMORES,43,10
310120 AIURUOCA,33,6
310130 ALAGOA,13,4
310150 ALEM PARAIBA,48,38
310160 ALFENAS,208,251
310170 ALMENARA,72,5
310190 ALPINOPOLIS,40,4
310200 ALTEROSA,20,6
310210 ALTO RIO DOCE,16,1
310230 ALVINOPOLIS,31,5
310260 ANDRADAS,37,15
310270 CACHOEIRA DE PAJEU,35,-
310280 ANDRELANDIA,39,13
310290 ANTONIO CARLOS,12,1
310340 ARACUAI,60,12
310350 ARAGUARI,353,138
310375 ARAPORA,14,-
310400 ARAXA,142,76
310410 ARCEBURGO,8,-
310420 ARCOS,43,22
310430 AREADO,15,-
310450 ARINOS,36,-
310470 ATALEIA,38,-
310490 BAEPENDI,48,11
310510 BAMBUI,77,88
310540 BARAO DE COCAIS,34,-
310560 BARBACENA,383,436
310590 BARROSO,42,6
310620 BELO HORIZONTE,5171,3772
310630 BELO ORIENTE,47,3
310640 BELO VALE,31,-
310650 BERILO,40,-
310670 BETIM,397,327
310690 BICAS,28,7
310710 BOA ESPERANCA,55,16
310730 BOCAIUVA,70,-
310740 BOM DESPACHO,66,21
310750 BOM JARDIM DE MINAS,29,-
310780 BOM JESUS DO GALHO,33,7
310800 BOM SUCESSO,50,16
310820 BONFINOPOLIS DE MINAS,7,-
310830 BORDA DA MATA,-,8
310840 BOTELHOS,15,4
310860 BRASILIA DE MINAS,105,9
310890 BRAZOPOLIS,17,7
310900 BRUMADINHO,51,-
310910 BUENO BRANDAO,19,6
310930 BURITIS,21,10
310940 BURITIZEIRO,31,-
310950 CABO VERDE,30,12
310990 CAETANOPOLIS,37,7
311000 CAETE,46,5
311030 CALDAS,25,24
311050 CAMANDUCAIA,19,4
311060 CAMBUI,35,14
311070 CAMBUQUIRA,29,7
311090 CAMPANHA,20,2
311100 CAMPESTRE,38,8
311110 CAMPINA VERDE,25,11
311120 CAMPO BELO,77,32
311130 CAMPO DO MEIO,10,-
311150 CAMPOS ALTOS,35,3
311160 CAMPOS GERAIS,45,6
311180 CANAPOLIS,23,2
311200 CANDEIAS,18,4
311230 CAPELINHA,49,5
311260 CAPINOPOLIS,31,-
311280 CAPITOLIO,14,3
311300 CARAI,43,1
311320 CARANDAI,39,8
311330 CARANGOLA,145,56
311340 CARATINGA,156,76
311350 CARBONITA,21,-
311360 CAREACU,14,6
311370 CARLOS CHAGAS,46,-
311380 CARMESIA,10,-
311390 CARMO DA CACHOEIRA,37,-
311400 CARMO DA MATA,10,-
311410 CARMO DE MINAS,30,4
311430 CARMO DO PARANAIBA,35,9
311440 CARMO DO RIO CLARO,28,2
311450 CARMOPOLIS DE MINAS,26,12
311460 CARRANCAS,17,4
311510 CASSIA,50,6
311530 CATAGUASES,78,43
311550 CAXAMBU,31,2
311570 CENTRAL DE MINAS,22,-
311580 CENTRALINA,19,-
311615 CHAPADA GAUCHA,18,-
311630 CIPOTANEA,14,-
311660 CLAUDIO,34,7
311680 COLUNA,38,-
311690 COMENDADOR GOMES,5,-
311710 CONCEICAO DA APARECIDA,19,-
311730 CONCEICAO DAS ALAGOAS,18,4
311750 CONCEICAO DO MATO DENTRO,39,4
311770 CONCEICAO DO RIO VERDE,28,6
311800 CONGONHAS,55,31
311820 CONQUISTA,11,4
311830 CONSELHEIRO LAFAIETE,162,80
311840 CONSELHEIRO PENA,44,9
311860 CONTAGEM,435,187
311880 CORACAO DE JESUS,40,-
311930 COROMANDEL,26,4
311940 CORONEL FABRICIANO,63,74
312020 CRISTAIS,19,-
312050 CRISTINA,23,2
312080 CRUZILIA,61,5
312090 CURVELO,141,48
312100 DATAS,21,-
312120 DELFINOPOLIS,14,5
312160 DIAMANTINA,161,18
312180 DIONISIO,-,9
312200 DIVINO,30,7
312210 DIVINO DAS LARANJEIRAS,21,-
312230 DIVINOPOLIS,199,457
312235 DIVISA ALEGRE,-,1
312240 DIVISA NOVA,-,7
312245 DIVISOPOLIS,1,-
312260 DOM JOAQUIM,19,-
312270 DOM SILVERIO,6,1
312320 DORES DO INDAIA,30,10
312360 ELOI MENDES,40,-
312390 ENTRE RIOS DE MINAS,61,3
312400 ERVALIA,16,-
312410 ESMERALDAS,52,5
312420 ESPERA FELIZ,42,5
312430 ESPINOSA,40,-
312450 ESTIVA,20,5
312470 ESTRELA DO INDAIA,21,-
312480 ESTRELA DO SUL,4,-
312490 EUGENOPOLIS,21,6
312510 EXTREMA,42,29
312550 SAO GONCALO DO RIO PRETO,8,-
312560 FELISBURGO,42,3
312590 FERROS,24,1
312595 FERVEDOURO,19,-
312610 FORMIGA,57,42
312620 FORMOSO,10,-
312650 FRANCISCO BADARO,11,-
312670 FRANCISCO SA,50,-
312690 FREI INOCENCIO,16,-
312710 FRUTAL,45,35
312760 GOUVEIA,26,2
312770 GOVERNADOR VALADARES,399,155
312780 GRAO MOGOL,50,-
312800 GUANHAES,68,22
312810 GUAPE,24,5
312820 GUARACIABA,23,-
312830 GUARANESIA,22,12
312860 GUARDA-MOR,16,-
312870 GUAXUPE,55,64
312910 GURINHATA,12,-
312940 IBERTIOGA,23,-
312950 IBIA,25,4
312970 IBIRACI,12,-
312980 IBIRITE,92,-
313010 IGARAPE,37,-
313030 IGUATAMA,18,12
313050 ILICINEA,38,2
313090 INHAPIM,45,3
313120 IPANEMA,44,46
313130 IPATINGA,364,252
313170 ITABIRA,174,64
313180 ITABIRINHA,21,-
313190 ITABIRITO,49,26
313210 ITACARAMBI,38,-
313220 ITAGUARA,40,5
313230 ITAIPE,28,-
313240 ITAJUBA,122,66
313250 ITAMARANDIBA,74,23
313270 ITAMBACURI,78,5
313290 ITAMOGI,14,4
313300 ITAMONTE,47,-
313310 ITANHANDU,48,8
313320 ITANHOMI,18,2
313330 ITAOBIM,59,5
313350 ITAPECERICA,37,8
313375 ITAU DE MINAS,34,6
313380 ITAUNA,79,37
313420 ITUIUTABA,146,79
313440 ITURAMA,58,13
313460 JABOTICATUBAS,31,1
313470 JACINTO,48,1
313480 JACUI,10,2
313490 JACUTINGA,26,11
313505 JAIBA,25,2
313510 JANAUBA,125,38
313520 JANUARIA,61,4
313540 JECEABA,27,-
313580 JEQUITINHONHA,50,6
313600 JOAIMA,33,-
313620 JOAO MONLEVADE,90,45
313630 JOAO PINHEIRO,48,17
313650 JORDANIA,27,-
313665 JUATUBA,14,-
313670 JUIZ DE FORA,1431,1070
313690 JURUAIA,11,3
313700 LADAINHA,21,-
313710 LAGAMAR,9,-
313720 LAGOA DA PRATA,48,16
313750 LAGOA FORMOSA,18,-
313760 LAGOA SANTA,43,32
313770 LAJINHA,40,12
313780 LAMBARI,45,5
313790 LAMIM,8,-
313800 LARANJAL,20,3
313820 LAVRAS,130,77
313840 LEOPOLDINA,78,22
313860 LIMA DUARTE,30,6
313880 LUZ,35,5
313890 MACHACALIS,44,2
313900 MACHADO,44,14
313920 MALACACHETA,43,-
313930 MANGA,39,4
313940 MANHUACU,145,40
313950 MANHUMIRIM,59,49
313960 MANTENA,69,16
313980 MAR DE ESPANHA,30,8
313990 MARIA DA FE,30,-
314000 MARIANA,56,11
314050 MARTINHO CAMPOS,14,4
314070 MATEUS LEME,51,16
314080 MATIAS BARBOSA,-,30
314090 MATIPO,45,5
314100 MATO VERDE,4,-
314110 MATOZINHOS,38,11
314120 MATUTINA,10,-
314140 MEDINA,49,4
314150 MENDES PIMENTEL,21,-
314160 MERCES,12,8
314180 MINAS NOVAS,42,19
314190 MINDURI,13,7
314200 MIRABELA,28,2
314220 MIRAI,30,16
314240 MOEMA,12,1
314260 MONSENHOR PAULO,39,5
314270 MONTALVANIA,31,3
314280 MONTE ALEGRE DE MINAS,18,4
314290 MONTE AZUL,40,2
314300 MONTE BELO,13,5
314310 MONTE CARMELO,99,19
314320 MONTE SANTO DE MINAS,28,22
314330 MONTES CLAROS,697,304
314350 MORADA NOVA DE MINAS,19,1
314390 MURIAE,308,187
314400 MUTUM,46,4
314410 MUZAMBINHO,27,23
314430 NANUQUE,46,29
314450 NAZARENO,15,-
314460 NEPOMUCENO,36,4
314470 NOVA ERA,30,13
314480 NOVA LIMA,71,233
314500 NOVA PONTE,23,5
314510 NOVA RESENDE,18,-
314520 NOVA SERRANA,52,24
314530 NOVO CRUZEIRO,35,1
314560 OLIVEIRA,67,42
314590 OURO BRANCO,37,59
314600 OURO FINO,40,10
314610 OURO PRETO,75,43
314630 PADRE PARAISO,38,2
314650 PAINS,18,-
314670 PALMA,21,6
314700 PARACATU,89,199
314710 PARA DE MINAS,71,35
314720 PARAGUACU,30,3
314730 PARAISOPOLIS,42,8
314750 PASSABEM,14,-
314760 PASSA QUATRO,29,20
314770 PASSA TEMPO,11,8
314790 PASSOS,189,129
314800 PATOS DE MINAS,200,181
314810 PATROCINIO,126,60
314860 PECANHA,51,1
314870 PEDRA AZUL,61,8
314910 PEDRALVA,9,5
314920 PEDRINOPOLIS,8,-
314930 PEDRO LEOPOLDO,65,12
314980 PERDIZES,21,3
314990 PERDOES,38,14
315030 PIEDADE DO RIO GRANDE,14,-
315050 PIMENTA,12,-
315080 PIRANGA,24,1
315110 PIRAPETINGA,32,-
315120 PIRAPORA,91,62
315140 PITANGUI,34,16
315150 PIUMHI,47,29
315160 PLANURA,6,-
315170 POCO FUNDO,60,4
315180 POCOS DE CALDAS,250,300
315190 POCRANE,18,-
315200 POMPEU,30,2
315210 PONTE NOVA,187,65
315220 PORTEIRINHA,40,8
315240 POTE,32,1
315250 POUSO ALEGRE,236,141
315260 POUSO ALTO,26,1
315270 PRADOS,30,3
315280 PRATA,26,2
315290 PRATAPOLIS,15,2
315300 PRATINHA,2,-
315310 PRESIDENTE BERNARDES,18,-
315340 PRESIDENTE OLEGARIO,18,-
315400 RAUL SOARES,36,13
315410 RECREIO,30,4
315420 RESENDE COSTA,39,10
315430 RESPLENDOR,56,9
315460 RIBEIRAO DAS NEVES,95,6
315470 RIBEIRAO VERMELHO,11,1
315480 RIO ACIMA,6,-
315490 RIO CASCA,41,7
315520 RIO ESPERA,18,-
315550 RIO PARANAIBA,25,-
315560 RIO PARDO DE MINAS,40,-
315570 RIO PIRACICABA,25,7
315580 RIO POMBA,28,18
315590 RIO PRETO,16,1
315600 RIO VERMELHO,32,-
315640 ROMARIA,5,-
315660 RUBIM,35,3
315670 SABARA,105,6
315680 SABINOPOLIS,42,-
315690 SACRAMENTO,30,20
315700 SALINAS,70,37
315710 SALTO DA DIVISA,13,2
315720 SANTA BARBARA,31,19
315770 SANTA JULIANA,41,-
315780 SANTA LUZIA,169,16
315790 SANTA MARGARIDA,31,-
315800 SANTA MARIA DE ITABIRA,10,3
315820 SANTA MARIA DO SUACUI,41,-
315920 SANTA RITA DE CALDAS,-,43
315930 SANTA RITA DE JACUTINGA,17,2
315960 SANTA RITA DO SAPUCAI,37,17
315970 SANTA ROSA DA SERRA,2,-
315980 SANTA VITORIA,34,5
315990 SANTO ANTONIO DO AMPARO,34,4
316030 SANTO ANTONIO DO JACINTO,-,8
316040 SANTO ANTONIO DO MONTE,44,10
316070 SANTOS DUMONT,57,9
316100 SAO DOMINGOS DO PRATA,36,4
316110 SAO FRANCISCO,59,-
316200 SAO GONCALO DO SAPUCAI,28,19
316210 SAO GOTARDO,35,18
316220 SAO JOAO BATISTA DO GLORIA,17,6
316240 SAO JOAO DA PONTE,31,-
316250 SAO JOAO DEL REI,131,102
316257 SAO JOAO DO MANTENINHA,12,-
316270 SAO JOAO DO PARAISO,42,6
316280 SAO JOAO EVANGELISTA,47,2
316290 SAO JOAO NEPOMUCENO,39,5
316292 SAO JOAQUIM DE BICAS,24,-
316370 SAO LOURENCO,66,56
316390 SAO PEDRO DA UNIAO,8,-
316420 SAO ROMAO,18,-
316430 SAO ROQUE DE MINAS,12,-
316470 SAO SEBASTIAO DO PARAISO,285,82
316500 SAO TIAGO,30,15
316510 SAO TOMAS DE AQUINO,-,1
316530 SAO VICENTE DE MINAS,23,7
316570 SENADOR FIRMINO,6,2
316680 SERRA DO SALITRE,37,-
316690 SERRANIA,13,1
316710 SERRO,50,19
316720 SETE LAGOAS,241,102
316800 TAIOBEIRAS,76,22
316840 TARUMIRIM,49,3
316860 TEOFILO OTONI,267,67
316870 TIMOTEO,37,6
316890 TIROS,14,-
316920 TOMBOS,25,12
316930 TRES CORACOES,115,52
316935 TRES MARIAS,27,8
316940 TRES PONTAS,62,54
316960 TUPACIGUARA,18,4
316970 TURMALINA,39,7
316990 UBA,230,80
317005 UBAPORANGA,-,2
317010 UBERABA,657,224
317020 UBERLANDIA,949,517
317040 UNAI,71,65
317043 UNIAO DE MINAS,34,-
317052 URUCUIA,31,-
317070 VARGINHA,186,119
317080 VARZEA DA PALMA,53,-
317090 VARZELANDIA,23,-
317100 VAZANTE,34,16
317120 VESPASIANO,53,6
317130 VICOSA,142,71
317160 VIRGEM DA LAPA,39,-
317170 VIRGINIA,37,-
317180 VIRGINOPOLIS,46,2
317200 VISCONDE DO RIO BRANCO,60,30
320010 AFONSO CLAUDIO,57,6
320020 ALEGRE,40,7
320040 ANCHIETA,107,77
320050 APIACA,16,-
320060 ARACRUZ,88,35
320070 ATILIO VIVACQUA,11,-
320080 BAIXO GUANDU,52,-
320090 BARRA DE SAO FRANCISCO,61,25
320100 BOA ESPERANCA,30,8
320115 BREJETUBA,4,-
320120 CACHOEIRO DE ITAPEMIRIM,484,135
320130 CARIACICA,237,142
320140 CASTELO,55,-
320150 COLATINA,306,114
320160 CONCEICAO DA BARRA,29,-
320170 CONCEICAO DO CASTELO,20,3
320190 DOMINGOS MARTINS,95,7
320210 ECOPORANGA,46,10
320220 FUNDAO,27,45
320230 GUACUI,58,12
320240 GUARAPARI,114,83
320245 IBATIBA,14,-
320250 IBIRACU,1,-
320270 ITAGUACU,12,-
320280 ITAPEMIRIM,84,6
320290 ITARANA,36,2
320300 IUNA,55,10
320305 JAGUARE,22,-
320310 JERONIMO MONTEIRO,50,-
320313 JOAO NEIVA,33,18
320316 LARANJA DA TERRA,23,-
320320 LINHARES,259,143
320332 MARATAIZES,20,60
320340 MIMOSO DO SUL,29,10
320350 MONTANHA,32,3
320360 MUCURICI,19,-
320370 MUNIZ FREIRE,19,3
320380 MUQUI,21,-
320390 NOVA VENECIA,51,13
320400 PANCAS,20,-
320405 PEDRO CANARIO,30,6
320410 PINHEIROS,32,-
320420 PIUMA,31,11
320425 PONTO BELO,8,-
320435 RIO BANANAL,26,-
320450 SANTA LEOPOLDINA,25,-
320455 SANTA MARIA DE JETIBA,56,2
320460 SANTA TERESA,75,31
320470 SAO GABRIEL DA PALHA,20,150
320480 SAO JOSE DO CALCADO,76,22
320490 SAO MATEUS,235,94
320500 SERRA,607,376
320501 SOORETAMA,6,-
320503 VARGEM ALTA,30,-
320506 VENDA NOVA DO IMIGRANTE,69,15
320520 VILA VELHA,563,568
320530 VITORIA,1186,651
330010 ANGRA DOS REIS,199,37
330015 APERIBE,35,-
330020 ARARUAMA,131,35
330022 AREAL,21,-
330023 ARMACAO DOS BUZIOS,69,-
330025 ARRAIAL DO CABO,76,-
330030 BARRA DO PIRAI,238,48
330040 BARRA MANSA,194,200
330045 BELFORD ROXO,275,125
330050 BOM JARDIM,60,5
330060 BOM JESUS DO ITABAPOANA,118,52
330070 CABO FRIO,214,222
330080 CACHOEIRAS DE MACACU,78,-
330090 CAMBUCI,33,9
330093 CARAPEBUS,8,-
330095 COMENDADOR LEVY GASPARIAN,1,40
330100 CAMPOS DOS GOYTACAZES,1019,656
330110 CANTAGALO,71,12
330120 CARMO,38,3
330130 CASIMIRO DE ABREU,54,-
330140 CONCEICAO DE MACABU,21,-
330150 CORDEIRO,50,-
330160 DUAS BARRAS,30,-
330170 DUQUE DE CAXIAS,924,241
330180 ENGENHEIRO PAULO DE FRONTIN,23,6
330185 GUAPIMIRIM,91,64
330190 ITABORAI,282,35
330200 ITAGUAI,99,69
330205 ITALVA,-,56
330210 ITAOCARA,31,31
330220 ITAPERUNA,223,129
330225 ITATIAIA,36,-
330227 JAPERI,30,-
330230 LAJE DO MURIAE,30,2
330240 MACAE,309,292
330250 MAGE,157,51
330260 MANGARATIBA,64,-
330270 MARICA,185,1
330280 MENDES,87,10
330285 MESQUITA,113,76
330290 MIGUEL PEREIRA,68,-
330300 MIRACEMA,29,27
330310 NATIVIDADE,39,10
330320 NILOPOLIS,94,134
330330 NITEROI,938,1369
330340 NOVA FRIBURGO,469,244
330350 NOVA IGUACU,674,489
330360 PARACAMBI,69,18
330370 PARAIBA DO SUL,120,8
330380 PARATY,59,-
330390 PETROPOLIS,945,714
330395 PINHEIRAL,33,-
330400 PIRAI,47,5
330410 PORCIUNCULA,1,-
330411 PORTO REAL,45,-
330412 QUATIS,33,-
330414 QUEIMADOS,121,-
330415 QUISSAMA,67,-
330420 RESENDE,159,172
330430 RIO BONITO,93,25
330440 RIO CLARO,41,-
330450 RIO DAS FLORES,27,-
330452 RIO DAS OSTRAS,112,12
330455 RIO DE JANEIRO,8311,8162
330460 SANTA MARIA MADALENA,23,-
330470 SANTO ANTONIO DE PADUA,83,93
330475 SAO FRANCISCO DE ITABAPOANA,39,-
330480 SAO FIDELIS,102,9
330490 SAO GONCALO,723,322
330500 SAO JOAO DA BARRA,59,-
330510 SAO JOAO DE MERITI,172,138
330515 SAO JOSE DO VALE DO RIO PRETO,48,-
330520 SAO PEDRO DA ALDEIA,54,23
330530 SAO SEBASTIAO DO ALTO,40,8
330540 SAPUCAIA,4,-
330550 SAQUAREMA,156,-
330555 SEROPEDICA,35,-
330560 SILVA JARDIM,40,-
330570 SUMIDOURO,28,-
330575 TANGUA,14,50
330580 TERESOPOLIS,223,144
330590 TRAJANO DE MORAES,31,7
330600 TRES RIOS,63,28
330610 VALENCA,288,25
330615 VARRE-SAI,23,-
330620 VASSOURAS,284,94
330630 VOLTA REDONDA,494,346
350010 ADAMANTINA,138,57
350030 AGUAI,24,-
350050 AGUAS DE LINDOIA,30,12
350070 AGUDOS,38,16
350100 ALTINOPOLIS,19,2
350110 ALTO ALEGRE,19,3
350115 ALUMINIO,-,120
350130 ALVARES MACHADO,16,2
350160 AMERICANA,154,286
350170 AMERICO BRASILIENSE,253,-
350190 AMPARO,216,158
350210 ANDRADINA,69,39
350220 ANGATUBA,54,3
350250 APARECIDA,69,23
350260 APARECIDA D'OESTE,13,1
350270 APIAI,45,6
350280 ARACATUBA,269,149
350290 ARACOIABA DA SERRA,45,285
350310 ARANDU,6,-
350320 ARARAQUARA,254,230
350330 ARARAS,165,253
350340 AREALVA,15,17
350380 ARTUR NOGUEIRA,8,-
350390 ARUJA,36,-
350400 ASSIS,151,126
350410 ATIBAIA,60,206
350420 AURIFLAMA,35,9
350450 AVARE,132,46
350490 BANANAL,15,-
350520 BARIRI,45,13
350530 BARRA BONITA,36,15
350550 BARRETOS,413,73
350570 BARUERI,430,94
350580 BASTOS,23,7
350590 BATATAIS,101,32
350600 BAURU,761,568
350610 BEBEDOURO,137,38
350630 BERNARDINO DE CAMPOS,23,-
350635 BERTIOGA,49,-
350640 BILAC,35,1
350650 BIRIGUI,66,82
350660 BIRITIBA-MIRIM,13,-
350670 BOA ESPERANCA DO SUL,15,1
350680 BOCAINA,18,-
350700 BOITUVA,39,15
350710 BOM JESUS DOS PERDOES,11,-
350740 BORBOREMA,16,10
350750 BOTUCATU,511,309
350760 BRAGANCA PAULISTA,203,161
350790 BROTAS,35,6
350810 BURITAMA,26,14
350840 CABREUVA,15,51
350850 CACAPAVA,75,124
350860 CACHOEIRA PAULISTA,32,-
350870 CACONDE,50,-
350880 CAFELANDIA,34,11
350900 CAIEIRAS,69,53
350920 CAJAMAR,39,100
350930 CAJOBI,21,11
350940 CAJURU,55,85
350950 CAMPINAS,1371,1414
350960 CAMPO LIMPO PAULISTA,54,-
350970 CAMPOS DO JORDAO,185,10
351000 CANDIDO MOTA,25,5
351020 CAPAO BONITO,37,8
351030 CAPELA DO ALTO,14,45
351040 CAPIVARI,61,43
351050 CARAGUATATUBA,259,68
351060 CARAPICUIBA,220,50
351070 CARDOSO,10,21
351080 CASA BRANCA,398,8
351100 CASTILHO,30,1
351110 CATANDUVA,374,248
351140 CERQUEIRA CESAR,35,3
351150 CERQUILHO,26,12
351160 CESARIO LANGE,23,4
351170 CHARQUEADA,26,7
351190 CLEMENTINA,21,3
351200 COLINA,41,13
351210 COLOMBIA,20,-
351220 CONCHAL,40,12
351230 CONCHAS,14,1
351260 CORONEL MACEDO,2,-
351270 CORUMBATAI,2,-
351280 COSMOPOLIS,28,33
351300 COTIA,133,385
351310 CRAVINHOS,13,2
351340 CRUZEIRO,83,38
351350 CUBATAO,119,-
351360 CUNHA,25,15
351370 DESCALVADO,25,15
351380 DIADEMA,555,39
351390 DIVINOLANDIA,186,-
351410 DOIS CORREGOS,47,20
351430 DOURADO,15,-
351440 DRACENA,108,35
351450 DUARTINA,77,10
351480 ELDORADO,2,-
351490 ELIAS FAUSTO,6,-
351500 EMBU DAS ARTES,89,155
351510 EMBU-GUACU,15,-
351518 ESPIRITO SANTO DO PINHAL,336,79
351520 ESTRELA D'OESTE,45,6
351540 FARTURA,12,8
351550 FERNANDOPOLIS,84,51
351570 FERRAZ DE VASCONCELOS,189,-
351600 FLORIDA PAULISTA,30,17
351620 FRANCA,404,161
351630 FRANCISCO MORATO,168,-
351640 FRANCO DA ROCHA,384,50
351660 GALIA,27,18
351670 GARCA,240,29
351690 GENERAL SALGADO,19,9
351700 GETULINA,36,2
351740 GUAIRA,53,18
351770 GUARA,52,8
351780 GUARACAI,15,8
351820 GUARARAPES,48,26
351830 GUARAREMA,29,2
351840 GUARATINGUETA,166,117
351860 GUARIBA,53,8
351870 GUARUJA,306,141
351880 GUARULHOS,1423,478
351900 HERCULANDIA,58,-
351907 HORTOLANDIA,84,22
351910 IACANGA,28,2
351930 IBATE,27,11
351940 IBIRA,9,18
351960 IBITINGA,49,55
351970 IBIUNA,70,175
351990 IEPE,18,-
352010 IGARAPAVA,32,11
352020 IGARATA,8,-
352040 ILHABELA,39,-
352044 ILHA SOLTEIRA,74,36
352050 INDAIATUBA,270,184
352070 INDIAPORA,4,32
352090 IPAUSSU,28,21
352100 IPERO,15,-
352110 IPEUNA,-,1
352130 IPUA,43,7
352140 IRACEMAPOLIS,3,-
352170 ITABERA,19,-
352180 ITAI,31,-
352190 ITAJOBI,35,15
352210 ITANHAEM,145,-
352220 ITAPECERICA DA SERRA,195,438
352230 ITAPETININGA,148,43
352240 ITAPEVA,102,45
352250 ITAPEVI,224,136
352260 ITAPIRA,538,389
352270 ITAPOLIS,43,26
352280 ITAPORANGA,29,12
352290 ITAPUI,35,-
352310 ITAQUAQUECETUBA,267,6
352320 ITARARE,51,27
352340 ITATIBA,61,59
352350 ITATINGA,7,7
352360 ITIRAPINA,10,-
352390 ITU,351,114
352400 ITUPEVA,48,38
352410 ITUVERAVA,53,67
352420 JABORANDI,17,-
352430 JABOTICABAL,46,231
352440 JACAREI,165,189
352450 JACI,168,48
352470 JAGUARIUNA,84,-
352480 JALES,103,48
352500 JANDIRA,-,15
352520 JARINU,17,12
352530 JAU,569,307
352550 JOANOPOLIS,11,-
352570 JOSE BONIFACIO,37,30
352590 JUNDIAI,464,412
352600 JUNQUEIROPOLIS,25,21
352620 JUQUITIBA,1,-
352640 LARANJAL PAULISTA,28,18
352670 LEME,77,58
352680 LENCOIS PAULISTA,44,127
352690 LIMEIRA,172,214
352710 LINS,279,90
352720 LORENA,85,115
352730 LOUVEIRA,28,4
352740 LUCELIA,30,6
352800 MACATUBA,18,13
352810 MACAUBAL,10,5
352850 MAIRIPORA,44,-
352880 MARACAI,22,4
352900 MARILIA,572,283
352920 MARTINOPOLIS,40,5
352930 MATAO,87,64
352940 MAUA,261,267
352970 MIGUELOPOLIS,51,21
352980 MINEIROS DO TIETE,11,-
353010 MIRANDOPOLIS,88,-
353020 MIRANTE DO PARANAPANEMA,23,-
353030 MIRASSOL,28,51
353050 MOCOCA,78,59
353060 MOGI DAS CRUZES,591,257
353070 MOGI GUACU,155,192
353080 MOGI MIRIM,109,63
353110 MONGAGUA,36,-
353130 MONTE ALTO,49,47
353140 MONTE APRAZIVEL,30,50
353150 MONTE AZUL PAULISTA,51,19
353180 MONTE MOR,26,9
353190 MORRO AGUDO,35,12
353200 MORUNGABA,8,1
353240 NAZARE PAULISTA,20,-
353250 NEVES PAULISTA,10,11
353260 NHANDEARA,35,94
353290 NOVA EUROPA,13,5
353300 NOVA GRANADA,19,43
353340 NOVA ODESSA,35,-
353350 NOVO HORIZONTE,41,32
353390 OLIMPIA,47,32
353430 ORLANDIA,60,38
353440 OSASCO,629,320
353460 OSVALDO CRUZ,58,14
353470 OURINHOS,97,70
353475 OUROESTE,28,5
353520 PALMEIRA D'OESTE,12,8
353530 PALMITAL,29,14
353550 PARAGUACU PAULISTA,73,23
353580 PARANAPANEMA,15,-
353600 PARAPUA,26,6
353620 PARIQUERA-ACU,154,-
353630 PATROCINIO PAULISTA,23,12
353650 PAULINIA,79,-
353660 PAULO DE FARIA,18,6
353670 PEDERNEIRAS,54,8
353700 PEDREGULHO,55,9
353710 PEDREIRA,75,10
353720 PEDRO DE TOLEDO,3,-
353730 PENAPOLIS,120,18
353740 PEREIRA BARRETO,47,5
353760 PERUIBE,15,3
353780 PIEDADE,59,20
353790 PILAR DO SUL,27,8
353800 PINDAMONHANGABA,129,126
353860 PIRACAIA,28,14
353870 PIRACICABA,375,357
353880 PIRAJU,49,19
353890 PIRAJUI,85,205
353900 PIRANGI,22,25
353930 PIRASSUNUNGA,67,60
353940 PIRATININGA,21,2
353950 PITANGUEIRAS,32,24
353980 POA,10,-
354000 POMPEIA,19,7
354020 PONTAL,19,4
354040 POPULINA,6,12
354060 PORTO FELIZ,45,18
354070 PORTO FERREIRA,33,22
354080 POTIRENDABA,28,4
354100 PRAIA GRANDE,216,162
354120 PRESIDENTE BERNARDES,40,11
354130 PRESIDENTE EPITACIO,68,10
354140 PRESIDENTE PRUDENTE,735,360
354150 PRESIDENTE VENCESLAU,62,40
354160 PROMISSAO,64,-
354190 QUELUZ,19,-
354220 RANCHARIA,71,32
354240 REGENTE FEIJO,31,9
354260 REGISTRO,195,47
354290 RIBEIRAO BONITO,10,3
354300 RIBEIRAO BRANCO,26,-
354330 RIBEIRAO PIRES,42,114
354340 RIBEIRAO PRETO,1425,817
354380 RINOPOLIS,20,3
354390 RIO CLARO,210,177
354400 RIO DAS PEDRAS,64,8
354420 RIOLANDIA,25,11
354425 ROSANA,80,-
354430 ROSEIRA,14,-
354490 SALES OLIVEIRA,20,10
354500 SALESOPOLIS,9,-
354520 SALTO,116,-
354530 SALTO DE PIRAPORA,43,9
354540 SALTO GRANDE,22,12
354560 SANTA ADELIA,11,8
